Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9825,0.9822,0.9975,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,2,0.9685,0.9684,0.9953,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,3,0.9790,0.9778,0.9940,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,4,0.9790,0.9779,0.9978,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,5,0.9790,0.9792,0.9975,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,6,0.9545,0.9544,0.9903,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,7,0.9860,0.9869,0.9940,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,8,0.9825,0.9825,0.9994,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,9,0.9685,0.9684,0.9917,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,10,0.9720,0.9726,0.9922,"{'C': 10, 'max_iter': 10000}"
